0 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
20 -- (80.0, 0.0, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1755,45 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1772,138 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1788,382 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1802,008 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1817,019 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1829,608 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1838,703 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1847,679 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1857,154 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1886,228 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1895,69 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1903,773 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1913,258 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1921,771 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1931,814 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1939,247 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1949,375 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1957,705 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1967,154 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1978,201 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
1993,215 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2008,213 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2043,561 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2057,372 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2069,44 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2078,585 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2088,004 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2096,827 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2105,066 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2114,352 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2123,273 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2133,272 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2142,294 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2153,529 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2163,674 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2199,34 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2211,492 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2220,142 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2231,566 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2239,253 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2247,825 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2256,563 -- (80.0, 0.1, -95.0) -- (0.0, 0.5, 0.0, 0.9)
2265,786 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2275,11 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2284,274 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2293,899 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2301,614 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2311,414 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2319,951 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2350,044 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2368,661 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2386,645 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2397,06 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2405,758 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2415,519 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2424,315 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2434,174 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2442,297 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2453,777 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2463,486 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2474,86 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2513,308 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2527,157 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2546,866 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2559,626 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2572,467 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2584,576 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2598,274 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2610,142 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2625,248 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2660,611 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2672,922 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2681,709 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2692,561 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2702,606 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2715,243 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2725,073 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2736,915 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2749,883 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2760,742 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2771,677 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2780,095 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2814,496 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2824,551 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2836,61 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2847,503 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2859,542 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
2871,187 -- (80.0, 0.1, -94.9) -- (0.0, 0.5, 0.0, 0.9)
